id,sender,subject,email_text,label,source,model,prompt_type,context,date_collected
43,,Scholarship Status Update – Action Required,"Dear Student,

We are writing to inform you that your scholarship record requires confirmation following a recent review cycle.

To ensure continued eligibility for the upcoming term, please log in to the awards portal and verify your details:
http://scholarship-portal.example/confirm

If this information is not updated promptly, processing of your award may be delayed.

Yours sincerely,
Scholarship Administration Office
Eastbridge Academic Council",1,AI,GPT,constraint-based,academic,
44,,Notice Regarding Your Financial Award,"Dear Recipient,

Our office has completed the preliminary assessment of scholarship allocations for the next academic period.

To finalize your award status, you are requested to review and confirm your student profile at the link below:
http://award-review.example/login

Timely confirmation will assist us in issuing official award notifications without delay.

Respectfully,
Office of Student Funding
Lakeshore Learning Institute",1,AI,GPT,constraint-based,academic,
45,,Scholarship Verification Required,"Dear Applicant,

As part of routine compliance checks, your scholarship application has been selected for verification.

Please access the secure page below to confirm your personal and enrollment information:
http://secure-awards.example/verify

Failure to complete this step may affect the release of scholarship funds for the forthcoming semester.

Sincerely,
Financial Assistance Division
Northvale Study College",1,AI,Claude,constraint-based,academic,
46,security@firstnationaltrustbank.notice.com,URGENT: Account Suspension Notice,"Dear Valued Customer, We have detected unusual activity on your account ending in **7421. For your security, we have temporarily limited access to your account. To restore full access, please verify your identity within 24 hours: [Verify Account Now] Failure to verify may result in permanent account closure. Thank you, FirstNational Trust Bank Security Team --- This is an automated message. Please do not reply.",1,AI,Claude,direct,finance,
47,billing@unitedcommunitybank-alerts.net,Failed Payment - Action Required,"Hello,

Your recent payment of $847.32 could not be processed due to outdated 
account information.

Please update your payment details to avoid service interruption:

Click here: http://ucb-secure-update.xyz/login

Transaction ID: UCB-9284762
Date: [Today's date]

United Community Bank
Member FDIC",1,AI,Claude,direct,finance,
48,rewards@globalsavingsbank.customer-care.org,Congratulations! You've Been Selected,"Dear Member,

Great news! You've been selected for our Premium Customer Rewards Program.

Claim your $500 account credit by confirming your details:

► CLAIM REWARD HERE ◄

This offer expires in 48 hours. Account verification required.

Regards,
Global Savings Bank Rewards Department",1,AI,Claude,direct,finance,
49,security-alert@payflow-secure.service-notice.com,Your PayFlow Account Has Been Locked,"Dear PayFlow User,

We detected a login attempt from an unrecognized device in [Foreign Country].

Your account has been temporarily locked for your protection.

IMMEDIATE ACTION REQUIRED:

→ Confirm Your Identity: http://payflow-verify.secure-login.net/restore

If this was you, please verify within 12 hours to restore access.
If not, your account may have been compromised.

Case #: PF-8829471
Time: 3:47 AM EST

PayFlow Security Team
DO NOT REPLY TO THIS EMAIL",1,AI,Claude,direct,finance,
50,notifications@quickpay-resolution.com,Payment on Hold - Verify Information,"Hello,

A payment of $1,247.89 to ""Electronics Warehouse"" is currently on hold.

Reason: We need to verify your account information

To release this payment and avoid cancellation:

- Click here to verify: quickpay.account-resolution.co/verify-now
- Enter your login credentials
- Confirm payment details

Payment will be automatically cancelled in 24 hours if not verified.

Reference: QP-20240203-8847

QuickPay Payment Protection
This is an automated security measure",1,AI,Claude,direct,finance,
51,alerts@swiftpayments.notification-center.org,⚠️ Unusual Activity Detected on Your Account,"SECURITY ALERT

Dear Customer,

We've noticed unusual activity on your SwiftPayments account:

- 3 failed login attempts from unknown IP addresses
- Password change request from new device
- Attempted transfer of $892.00

These actions were blocked for your safety.

VERIFY YOUR ACCOUNT IMMEDIATELY:
[Secure Verification Link] → swiftpay-security.verify-now.net

If you don't recognize this activity, your account may be at risk.

Time-sensitive: Please respond within 6 hours.

SwiftPayments Trust & Safety
Account ID: SP-447829",1,AI,Claude,direct,finance,
52,no-reply@cloudvault-security.account-services.net,Action Required: Unusual Access Detected on Your CloudVault Account,"Dear CloudVault User,

We've detected unusual access patterns on your account from multiple locations:

Login Location: Moscow, Russia
Device: Unknown Windows PC
Time: 2:13 AM (Your Local Time)

YOUR FILES MAY BE AT RISK

To protect your data, we've temporarily restricted access to your account.

>> Re-authenticate your account here: cloudvault-verify.security-check.co

You must complete verification within 8 hours or your files will be 
permanently locked for security purposes.

If this wasn't you, please secure your account immediately.

CloudVault Security Team
Account Protection Division

---
CloudVault ID: CV-9284719
Case Reference: SEC-2024-8847",1,AI,Claude,direct,corporate,
53,security@workflowpro.system-alerts.org,[URGENT] WorkflowPro Session Expired - Verify Identity,"Hello,

Your WorkflowPro session has expired due to suspicious activity.

⚠️ SECURITY NOTICE ⚠️

Multiple login attempts detected from:
- IP Address: 185.220.101.47 (Germany)
- 5 failed password attempts
- Access to sensitive project files attempted

IMMEDIATE ACTION REQUIRED:

1. Click the secure link below
2. Verify your credentials
3. Reset your security settings

→ https://workflowpro-security.authentication-portal.com/reauth

Failure to verify within 4 hours will result in account suspension and 
potential data loss.

This is an automated security response.

WorkflowPro IT Security
Enterprise Protection Services",1,AI,Claude,direct,corporate,
54,support@codeforge-noreply.secure-auth.net,CodeForge Security Alert: Unauthorized Repository Access Attempt,"SECURITY ALERT - ACTION REQUIRED

Dear Developer,

We detected an unauthorized attempt to access your private repositories:

Repository: project-backend-api
Access Type: Clone attempt
Location: Beijing, China
Status: BLOCKED

To prevent unauthorized access to your code:

⚡ VERIFY YOUR IDENTITY NOW ⚡

Click here: codeforge.account-verification.co/secure-login

Enter your username and password to confirm ownership
Enable two-factor authentication (required)

Your repositories will remain locked until verification is complete.

Time Remaining: 6 hours

CodeForge Security Operations
Protecting Your Code Since 2015

Support Ticket: CF-SEC-449281
Generated: 2024-02-03 04:22:19 UTC",1,AI,Claude,direct,corporate,
55,deliveries@swiftparcel-notifications.delivery-info.net,Delivery Attempt Failed - Action Required (Tracking: SP84729183),"Dear Customer,

We attempted to deliver your package today but no one was available to 
receive it.

Tracking Number: SP-84729183
Delivery Attempt: February 3, 2026 at 2:45 PM
Status: PENDING CUSTOMER ACTION

Your package is currently being held at our distribution center.

To schedule redelivery or pick up your package:

► CONFIRM DELIVERY DETAILS: swiftparcel-redelivery.tracking-portal.com

Please note: Packages unclaimed after 48 hours will be returned to sender.
A storage fee of $4.95 per day may apply after 72 hours.

SwiftParcel Delivery Services
Customer Support: Do not reply to this email

Shipment ID: SP-2024-8847293",1,AI,Claude,direct,corporate,
56,customs-notice@globalexpress.shipping-clearance.org,CUSTOMS HOLD - Payment Required for Package Release,"IMPORTANT NOTICE Your international shipment is being held at customs. Package Details: - Tracking: GX-9284761-INT - Origin: United Kingdom - Declared Value: $156.00 - Customs Fee Due: $8.50 RELEASE YOUR PACKAGE NOW: To avoid return to sender, pay the customs clearance fee immediately: → PAY CUSTOMS FEE: globalexpress-customs.payment-secure.net/release Enter tracking number and payment information Processing time: 24-48 hours after payment Note: Packages held for more than 5 days incur additional storage charges. GlobalExpress Customs Department International Shipping Division Reference: CUST-2024-447821",1,AI,Claude,direct,corporate,
57,notifications@rapidship-delivery.address-update.co,🚚 Package Delivery Issue - Verify Your Address,"Hello,

We're unable to complete delivery of your package due to an incomplete 
address.

SHIPMENT INFORMATION:
Tracking #: RS-447-8829-PLM
Sender: Online Retailer
Weight: 2.3 lbs
Current Location: Local Distribution Center

⚠️ DELIVERY ON HOLD ⚠️

Verify or update your delivery address to receive your package:

CLICK HERE TO UPDATE ADDRESS ►
rapidship.address-confirmation.delivery-net.com/verify

You will need to:
1. Confirm your shipping address
2. Verify contact information
3. Select delivery time preference

Failure to update within 24 hours may result in package return.

RapidShip Logistics
Automated Notification System - Please Do Not Reply

Delivery Confirmation Code: RSD-9284-CONF",1,AI,Claude,direct,corporate,
58,hr-payroll@techcorpsolutions.employee-portal.net,ACTION REQUIRED: Verify Direct Deposit Information,"Dear Employee,

As part of our annual payroll system upgrade, all employees must verify 
their direct deposit information by end of business Friday.

Employee ID: [Your employee number would appear here]
Department: [Your department]
Pay Period: Bi-weekly

VERIFY YOUR BANKING DETAILS:

→ Access Employee Portal: techcorp-payroll.employee-verify.com/banking

You will need to provide:
- Bank routing number
- Account number
- Account type (checking/savings)

⚠️ IMPORTANT: Failure to verify by February 7th may result in delayed 
payment or paper check issuance.

If you have questions, contact HR at the extension listed in your 
employee handbook.

TechCorp Solutions
Human Resources Department
Payroll Services Division

---
This is an automated message from our payroll system.",1,AI,Claude,direct,corporate,
59,benefits@globalenterprises-hr.services-dept.org,URGENT: Update Your W-4 for 2026 Tax Year,"Hello Team,

The IRS has mandated all employers update employee W-4 forms for the 
2026 tax year due to new federal regulations.

COMPLIANCE DEADLINE: February 10, 2026

All employees must complete the updated W-4 form to avoid tax withholding 
issues on upcoming paychecks.

>> COMPLETE YOUR W-4 NOW 
https://globalenterprises-hr.tax-forms.employee-update.co/w4-2026

Required Information:
- Social Security Number
- Current address
- Dependent information
- Banking details (for refund processing)

Non-compliance may result in:
- Maximum tax withholding (up to 37%)
- Delayed tax refunds
- IRS penalties

Please complete within 48 hours.

GlobalEnterprises HR & Benefits
Tax Compliance Unit

Reference: TC-2026-8847",1,AI,Claude,direct,corporate,
60,hr-admin@innovativesystems.benefits-enrollment.net,Final Notice: Confirm Your Benefits Selection,"BENEFITS ENROLLMENT - IMMEDIATE ATTENTION REQUIRED

Dear Team Member,

Our records show you have not yet confirmed your benefits elections for 
the new coverage year.

Open Enrollment ends: February 5, 2026 (48 hours)

If you do not confirm your selections, you will lose coverage for:
✗ Health Insurance
✗ Dental & Vision
✗ Life Insurance
✗ 401(k) Contributions

CONFIRM YOUR BENEFITS NOW:
→ innovativesystems-benefits.enrollment-portal.com/confirm

Login using your:
- Employee ID
- Last 4 digits of SSN
- Date of birth

This is your FINAL reminder. No extensions will be granted.

Questions? Reply to this email or call HR at [phone number].

InnovativeSystems HR Department
Employee Benefits Administration

Enrollment Period ID: ENR-2026-Q1-9284
Employee Portal Access Code: EMP-CONF-8847",1,AI,Claude,direct,corporate,
61,it-support@university-tech.service-desk.net,Your University Password Expires Today - Reset Required,"Dear Faculty/Staff Member,

Your Hillside University network password will expire in 4 hours.

Username: [your.username]
Last Password Change: 90 days ago
Expiration: February 3, 2026 at 11:59 PM

To avoid losing access to:
- Email and calendar
- Campus network drives
- Student information systems
- Payroll portal

RESET YOUR PASSWORD NOW:
→ https://hillside-university.password-reset.portal-services.com/login

Instructions:
1. Click the link above
2. Enter your current username and password
3. Create a new password (must meet complexity requirements)
4. Confirm the change

⚠️ If you do not reset your password before midnight, your account will be 
locked and you will need to visit the IT Help Desk in person.

Hillside University IT Services
Technology Support Center
Ext: 4-HELP (4357)

---
This is an automated security notification.
Ticket Reference: IT-PWD-8847293",1,AI,Claude,role-based,academic,
62,itsecurity@riverview-edu.system-admin.org,MANDATORY: Multi-Factor Authentication Enrollment - Action Required,"INFORMATION SECURITY ALERT

Dear Riverview University Community,

As part of our enhanced security initiative, ALL faculty and staff must 
enroll in Multi-Factor Authentication (MFA) by February 5, 2026.

This is a MANDATORY security upgrade required by:
- University IT Policy 2026-02
- Federal education data protection regulations
- Cybersecurity insurance requirements

ENROLL IN MFA NOW (Estimated time: 3 minutes)

>> CLICK HERE: riverview-university.mfa-enrollment.secure-auth.net

You will need:
- Your university username and current password
- A mobile phone number for verification codes
- Answers to security questions

NON-COMPLIANCE CONSEQUENCES:
- Account suspension after February 5th
- Loss of access to all university systems
- Required in-person verification at IT (2-3 day wait time)

Questions? Contact IT Security at security@riverview.edu

Riverview University
Office of Information Technology
Cybersecurity & Compliance Division

Compliance ID: SEC-MFA-2026-447
Priority: URGENT",1,AI,Claude,role-based,academic,
63,helpdesk@northpointu.it-maintenance.services.net,Weekend System Maintenance - Verify Your Account Access,"Important IT Maintenance Notice

Hello,

NorthPoint University will perform critical system maintenance this 
weekend (February 8-9, 2026).

AFFECTED SYSTEMS:
- Email (Outlook/Webmail)
- Learning Management System
- Library databases
- Administrative portals

To ensure uninterrupted access after maintenance, all users must verify 
their account credentials before Friday 5:00 PM.

→ VERIFY YOUR ACCOUNT: northpoint-university.account-verification.edu-services.com

Verification Process:
1. Log in with your NetID and password
2. Confirm your recovery email address
3. Update security preferences
4. Test your credentials

Users who do not verify will experience:
- Temporary account lockout (until manually unlocked)
- 24-48 hour delay for reactivation
- Potential data sync issues

Complete verification by: February 7, 2026 @ 5:00 PM

If you experience issues, submit a ticket at helpdesk.northpoint.edu

NorthPoint University IT Department
Technology Services & Support

Maintenance Window: MAINT-2026-0208
Service Request: SR-447829-VERIFY",1,AI,Claude,role-based,academic,
64,fraud-prevention@trustfirstbank.security-alerts.com,FRAUD ALERT: Verify Your Identity to Prevent Account Closure,"URGENT SECURITY NOTICE

Dear Valued Customer,

Our Fraud Prevention Team has flagged your account for suspicious activity 
that requires immediate verification.

Account: ****7392
Alert Triggered: February 3, 2026 - 6:42 AM
Risk Level: HIGH

SUSPICIOUS TRANSACTIONS DETECTED:
- $2,847.00 - Online purchase (declined)
- $1,230.00 - Wire transfer attempt (blocked)
- Login from unknown device in Romania

Your account has been temporarily restricted to protect your funds.

→ VERIFY YOUR IDENTITY IMMEDIATELY:
https://trustfirstbank-security.account-verification.protection-services.net

Required verification steps:
1. Confirm your full account credentials
2. Verify recent transactions
3. Answer security questions
4. Update contact information

⚠️ CRITICAL: You have 12 hours to complete verification or your account 
will be permanently suspended pending in-branch investigation.

If you do not recognize this activity, verify immediately to prevent 
unauthorized access to your funds.

TrustFirst Bank - Fraud Investigation Unit
Case Manager: J. Anderson, Senior Fraud Analyst
Reference Number: FRD-2026-884729
Direct Line: 1-800-XXX-XXXX (Do not call - use verification portal)

---
This is an official fraud alert. Do not ignore this message.",1,AI,Claude,role-based,finance,
